name,rating
Blue CLEAN Pressing,"4,8"
Pressing Express,"4,7"
PRESSING DU FUTUR,"5,0"
Ineska Pressing & Shop,"5,0"
CHIC PRESSING,"4,0"
PRESSING KEKELI,"4,0"
LYNX PRESSING,"3,7"
Manu Pressing,"5,0"
REYA pressing Avedji,"5,0"
Pressing ACACIA,"3,0"
MARVEL PRESSING COFFEE TEA,"5,0"
Pressing Helima,"5,0"
PRESSING 2EBA,"3,5"
Sea pressing express,"5,0"
Label pressing,"5,0"
ECOLABO PRESSING,"4,0"
Eureka Pressing 2,"5,0"
Pressing du Golfe Novissi - Lomé,"3,9"
REYA pressing Avedji,"5,0"
LYNX PRESSING,"3,7"
Wash & Chill,"5,0"
Pressing Helima,"5,0"
DonweShop,"4,0"
Den's Pressing,"4,7"
Sham pressing,"3,5"
Eureka Pressing 2,"5,0"
Ovénou pressing,"5,0"
SHINE PRESSING,"5,0"
Lighte pressing,"4,0"
CLASS PRESSING,"4,4"
Pressing by Olabi sarl,"5,0"
ELINAM Pressing,"4,0"
Lavasec-Express (annexe Adido-Adin),"4,0"
Éclat D'or Pressing,"3,1"
Pressing Expérience,"4,1"
U clean,"4,0"
Pressing Exécutif,"5,0"
Eureka Pressing 1,"5,0"
CHIC PRESSING Léo 2000 (siège),"5,0"
Pressing Gracias,"4,0"
Benedictus Deus,"5,0"
Bobobioo Pressing,"3,7"
Pressing Eyram,"5,0"
Class Pressing,"3,0"
Chic Pressing (annexe de Djidjolé),"4,0"
